stock,date,open,max,min,close,adj close,volume
^IBEX,16 abr. 2018,9.768.70,9.796.50,9.747.30,9.766.10,9.766.10,100.400.843
^IBEX,13 abr. 2018,9.764.00,9.858.90,9.744.40,9.767.30,9.767.30,137.074.600
^IBEX,12 abr. 2018,9.733.00,9.767.60,9.706.10,9.747.00,9.747.00,127.527.600
^IBEX,11 abr. 2018,9.742.60,9.786.30,9.717.30,9.735.80,9.735.80,122.928.200
^IBEX,10 abr. 2018,9.798.50,9.806.00,9.738.70,9.763.50,9.763.50,125.802.100
^IBEX,09 abr. 2018,9.735.10,9.790.20,9.716.80,9.742.80,9.742.80,99.214.300
^IBEX,06 abr. 2018,9.688.30,9.734.20,9.658.90,9.682.80,9.682.80,114.953.400
^IBEX,05 abr. 2018,9.637.50,9.761.80,9.616.70,9.740.90,9.740.90,162.491.700
^IBEX,04 abr. 2018,9.555.50,9.560.40,9.417.30,9.513.30,9.513.30,151.218.600
^IBEX,03 abr. 2018,9.532.10,9.577.50,9.500.00,9.549.60,9.549.60,129.871.700
^IBEX,29 mar. 2018,9.595.60,9.657.50,9.581.70,9.600.40,9.600.40,153.270.700
^IBEX,28 mar. 2018,9.397.80,9.555.00,9.348.90,9.555.00,9.555.00,177.665.900
^IBEX,27 mar. 2018,9.518.20,9.519.20,9.441.60,9.473.60,9.473.60,137.671.300
^IBEX,26 mar. 2018,9.418.10,9.460.60,9.343.30,9.381.00,9.381.00,159.534.000
^IBEX,23 mar. 2018,9.399.20,9.428.90,9.327.60,9.393.10,9.393.10,226.994.800
^IBEX,22 mar. 2018,9.580.40,9.648.30,9.432.60,9.487.40,9.487.40,199.763.700
^IBEX,21 mar. 2018,9.701.50,9.702.40,9.592.10,9.630.90,9.630.90,145.644.800
^IBEX,20 mar. 2018,9.676.30,9.693.20,9.608.50,9.681.60,9.681.60,129.603.000
^IBEX,19 mar. 2018,9.733.90,9.747.30,9.646.00,9.664.10,9.664.10,123.279.600
^IBEX,16 mar. 2018,9.676.20,9.800.80,9.664.00,9.761.00,9.761.00,313.971.200
^IBEX,15 mar. 2018,9.715.30,9.720.60,9.647.50,9.684.20,9.684.20,146.814.900
^IBEX,14 mar. 2018,9.698.90,9.737.40,9.632.20,9.688.50,9.688.50,159.016.100
^IBEX,13 mar. 2018,9.737.20,9.811.40,9.670.70,9.691.70,9.691.70,151.206.300
^IBEX,12 mar. 2018,9.747.40,9.761.30,9.702.50,9.727.50,9.727.50,110.658.800
^IBEX,09 mar. 2018,9.651.00,9.704.90,9.631.50,9.686.10,9.686.10,117.278.700
^IBEX,08 mar. 2018,9.617.00,9.666.40,9.564.20,9.646.20,9.646.20,144.630.300
^IBEX,07 mar. 2018,9.561.30,9.612.40,9.547.10,9.599.30,9.599.30,132.064.100
^IBEX,06 mar. 2018,9.663.60,9.677.00,9.586.30,9.586.80,9.586.80,143.029.000
^IBEX,05 mar. 2018,9.500.00,9.604.20,9.494.50,9.590.80,9.590.80,147.001.100
^IBEX,02 mar. 2018,9.680.00,9.680.00,9.510.80,9.531.10,9.531.10,208.309.000
^IBEX,01 mar. 2018,9.795.30,9.808.90,9.715.20,9.738.60,9.738.60,161.713.700
^IBEX,28 feb. 2018,9.869.80,9.887.20,9.830.20,9.840.30,9.840.30,203.423.600
^IBEX,27 feb. 2018,9.930.30,9.937.20,9.863.40,9.900.20,9.900.20,153.537.600
^IBEX,26 feb. 2018,9.888.40,9.915.10,9.841.70,9.902.40,9.902.40,156.602.500
^IBEX,23 feb. 2018,9.882.90,9.891.10,9.764.90,9.822.40,9.822.40,181.436.600
^IBEX,22 feb. 2018,9.767.60,9.903.10,9.744.90,9.876.50,9.876.50,175.175.500
^IBEX,21 feb. 2018,9.874.50,9.876.10,9.777.50,9.823.30,9.823.30,155.384.500
^IBEX,20 feb. 2018,9.806.90,9.901.10,9.806.90,9.895.30,9.895.30,153.238.700
^IBEX,19 feb. 2018,9.865.10,9.905.40,9.797.20,9.806.20,9.806.20,122.821.700
^IBEX,16 feb. 2018,9.785.20,9.839.70,9.768.70,9.832.10,9.832.10,188.851.400
^IBEX,15 feb. 2018,9.770.70,9.832.10,9.674.90,9.714.90,9.714.90,165.506.400
^IBEX,14 feb. 2018,9.715.70,9.743.90,9.595.90,9.686.20,9.686.20,178.708.500
^IBEX,13 feb. 2018,9.788.50,9.797.40,9.650.70,9.650.70,9.650.70,164.804.700
^IBEX,12 feb. 2018,9.760.10,9.815.20,9.731.00,9.771.10,9.771.10,170.166.600
^IBEX,09 feb. 2018,9.710.90,9.752.20,9.581.10,9.639.60,9.639.60,255.495.900
^IBEX,08 feb. 2018,9.928.50,9.959.80,9.726.50,9.756.30,9.756.30,228.483.100
^IBEX,07 feb. 2018,9.950.80,9.988.50,9.811.70,9.976.90,9.976.90,234.404.500
^IBEX,06 feb. 2018,9.794.90,9.967.30,9.721.50,9.810.00,9.810.00,313.297.200
^IBEX,05 feb. 2018,10.138.40,10.173.80,10.058.50,10.064.50,10.064.50,195.011.800
^IBEX,02 feb. 2018,10.359.30,10.369.20,10.205.30,10.211.20,10.211.20,203.689.700
^IBEX,01 feb. 2018,10.518.30,10.543.70,10.359.40,10.399.00,10.399.00,197.535.400
^IBEX,31 ene. 2018,10.436.40,10.482.70,10.422.10,10.451.50,10.451.50,190.192.400
^IBEX,30 ene. 2018,10.481.90,10.506.40,10.416.20,10.428.20,10.428.20,180.465.900
^IBEX,29 ene. 2018,10.605.50,10.605.70,10.540.00,10.555.60,10.555.60,150.492.500
^IBEX,26 ene. 2018,10.598.60,10.635.10,10.563.20,10.595.40,10.595.40,139.534.800
^IBEX,25 ene. 2018,10.564.60,10.630.50,10.559.70,10.595.30,10.595.30,183.930.300
^IBEX,24 ene. 2018,10.595.30,10.617.20,10.563.00,10.563.00,10.563.00,129.488.500
^IBEX,23 ene. 2018,10.640.30,10.643.40,10.583.70,10.609.50,10.609.50,168.200.500
^IBEX,22 ene. 2018,10.503.60,10.601.90,10.488.30,10.584.00,10.584.00,179.083.500
^IBEX,19 ene. 2018,10.417.50,10.500.10,10.396.20,10.479.50,10.479.50,143.558.400
